handle,type,packsize,cost,razorCost,url
0,pp,12,42.78,3.565,https://www.amazon.co.uk/dp/B0792P739P
0,pp,8,28.55,3.56875,https://www.ebay.co.uk/itm/202980296251
0,pp,14,50.01,3.572142857142857,https://www.amazon.co.uk/dp/B073HR3PZ3
0,pp,16,57.32,3.5825,https://www.ebay.co.uk/itm/162478260782
0,pp,16,57.98,3.62375,https://www.chemist-4-u.com/gillette-fusion-proglide-power-mens-razor-blades-8-count
0,pp,28,102.06,3.645,https://www.beautytheshop.com/uk/drugstore/men/gillette/gillette-fusion-proglide-power-refill-4-units-13
0,pp,4,14.64,3.66,https://www.ebay.co.uk/itm/153840006263
0,op,4,14.75,3.6875,https://www.amazon.co.uk/dp/B0799CJDKR
0,pp,14,52.09,3.720714285714286,https://www.amazon.co.uk/dp/B07982T3RV
0,pp,8,29.95,3.74375,https://www.ebay.co.uk/itm/153539027374
0,pp,8,29.97,3.74625,https://www.carethy.co.uk/hygiene-and-health/gillette/p-372539
0,pp,4,14.99,3.7475,https://www.ebay.co.uk/itm/174208473757
0,ps,8,29.99,3.74875,https://www.amazon.co.uk/dp/B08R7MZB6Z
0,op,1,3.75,3.75,https://www.ebay.co.uk/itm/152519271001
0,p,4,15,3.75,https://www.sainsburys.co.uk/gol-ui/product/gillette-fusion-proglide-manual-blades-x4
0,pc,7,26.33,3.761428571428571,https://www.amazon.co.uk/dp/B086TS65K7
0,pp,4,15.08,3.77,https://www.onbuy.com/gb/4-x-gillette-fusion-power-proglide-mens-replacement-razor-blades-with-microcomb~c9762~p17643526/
0,pp,4,15.1,3.775,https://www.amazon.co.uk/dp/B004ASOR9I
0,pp,20,76,3.8,https://www.beautiq.shop/gb/gillette/gillette-fusion-proglide-power-refill-4-units-7702018263905
0,ps,4,15.2,3.8,https://www.amazon.co.uk/dp/B01KK8UOC0
0,op,80,304.05,3.800625,https://www.amazon.co.uk/dp/B00LNBI6JW
0,pp,8,30.75,3.84375,https://www.ebay.co.uk/itm/392758833679
0,op,4,15.49,3.8725,https://www.amazon.co.uk/dp/B014DG8XNM
0,pp,40,155.64,3.8909999999999996,https://www.amazon.co.uk/dp/B00LNBI2VO
0,pp,24,93.619,3.9007916666666667,https://www.mifarma.co.uk/recambios-fusion5-proglide-power-gillette-4uds
0,pp,32,125.74,3.929375,https://www.amazon.co.uk/dp/B01M2AX5JC
0,op,4,15.73,3.9325,https://www.amazon.co.uk/dp/B00QPVRP4W
0,pp,4,15.79,3.9475,https://www.gillette.co.uk/11999256.html
0,pp,4,15.79,3.9475,https://www.amazon.co.uk/dp/B07CVJXGSC
0,pp,32,129.6,4.05,https://www.pharmacyclub.net/uk/drugstore/men/gillette/gillette-fusion-proglide-power-refill-4-units-13
0,ps,4,16.25,4.0625,https://www.amazon.co.uk/dp/B01KLJBO4U
0,pp,8,32.72,4.09,https://www.ebay.co.uk/itm/164184666916
0,op,4,16.42,4.105,https://www.amazon.co.uk/dp/B00OYRVORI
0,pp,8,33.17,4.14625,https://www.ebay.co.uk/itm/402218751358
0,pp,80,333.64,4.1705,https://www.amazon.co.uk/dp/B00LNBID86
0,pp,32,133.8,4.18125,https://www.pharmacyclub.net/uk/drugstore/men/gillette/gillette-fusion-proglide-power-refill-8-units-3
0,pp,16,67,4.1875,https://www.ebay.co.uk/itm/362574273192
