id,handle,type,quantity,cost,razorCost,url
,0,pp,28,132.51,,https://www.pharmacyclub.net/uk/drugstore/men/gillette/gillette-fusion-proglide-power-refill-4-units-42
,0,pp,4,19.03,,https://www.ebay.co.uk/itm/392758806852
,0,op,1,4.89,,https://www.ebay.co.uk/itm/143085216030
,0,pp,4,19.79,,https://www.perfumespremium.co.uk/index.php/gillette-fusion-proglide-power-4-c-es-pt-ok
,0,ps,6,29.71,,https://www.amazon.co.uk/dp/B08PGBCGXR
,0,pp,8,39.74,,https://www.ebay.co.uk/itm/402218742841
,0,op,4,19.96,,https://www.amazon.co.uk/dp/B00HZRFSMQ
,0,op,4,19.96,,https://www.amazon.co.uk/dp/B00Q2NN9SO
,0,op,4,19.96,,https://www.amazon.co.uk/dp/B01DJ8VW7E
,0,op,4,19.96,,https://www.amazon.co.uk/dp/B00AVVT2GQ
,0,op,4,19.96,,https://www.amazon.co.uk/dp/B01BPASNM0
,0,op,4,19.96,,https://www.amazon.co.uk/dp/B003KWVOD2
,0,op,4,19.96,,https://www.amazon.co.uk/dp/B01DDM9CPK
,0,op,4,19.96,,https://www.amazon.co.uk/dp/B0081Q49FC
,0,op,4,19.96,,https://www.amazon.co.uk/dp/B00RHPOTO4
,0,pp,8,40.25,,https://www.amazon.co.uk/dp/B00UB7827A
,0,pp,12,60.71,,https://www.ebay.co.uk/itm/402218823909
,0,pp,12,61.02,,https://www.ebay.co.uk/itm/402218864689
,0,pp,4,20.59,,https://www.ebay.co.uk/itm/232652205756
,0,pp,3,15.48,,https://www.amazon.co.uk/dp/B004YZMLEU
,0,ps,4,20.66,,https://www.amazon.co.uk/dp/B0791KVQFC
,0,pp,4,21,,https://www.luxplus.co.uk/product/gillette-fusion-proglide-power-razorblades-4-pcs
,0,pp,4,21.15,,https://www.fruugo.co.uk/gillette-fusion-proglide-power-4-pack/p-46133038-92860453
,0,pp,4,21.18,,https://www.ebay.co.uk/itm/164191982298
,0,pp,4,21.46,,https://www.ebay.co.uk/itm/232612510361
,0,pp,3,16.14,,https://www.perfumespremium.co.uk/gillette-carg-fus-proglide-power-3u
,0,pp,4,21.88,,https://www.ebay.co.uk/itm/254131264785
,0,pp,4,21.89,,https://www.ebay.co.uk/itm/254131264785
,0,pp,4,21.95,,https://www.amazon.co.uk/dp/B01N6QNYNV
,0,pp,4,21.96,,https://www.amazon.co.uk/dp/B01BQCIXAO
,0,pp,4,21.96,,https://www.amazon.co.uk/dp/B00OYRVPSG
,0,pp,4,21.96,,https://www.amazon.co.uk/dp/B01MDSIE7R
,0,pp,4,21.96,,https://www.amazon.co.uk/dp/B0193UQQIC
,0,ps,4,22.28,,https://www.ebay.co.uk/itm/333578292454
,0,pc,6,34.05,,https://www.amazon.co.uk/dp/B085Y2ZS97
,0,op,2,11.38,,https://www.ebay.co.uk/itm/133148656407
,0,op,2,11.68,,https://www.ebay.co.uk/itm/363274651666
,0,ps,4,23.44,,https://www.ebay.co.uk/itm/124559224618
,0,pc,6,35.18,,https://www.amazon.co.uk/dp/B07H3L9R3D
,0,op,1,5.99,,https://www.amazon.co.uk/dp/B007XS7DWU
,0,op,1,5.99,,https://www.amazon.co.uk/dp/B00AVVSY1U
,0,op,4,25.2,,https://www.ebay.co.uk/itm/224302048662
,1,pp,6,37.9,,https://www.ebay.co.uk/itm/221689178746
,0,pp,4,25.39,,https://www.ebay.co.uk/itm/263497630069
,4,pp,4,25.8,,https://www.ebay.co.uk/itm/124559213066
,1,pp,2,12.98,,https://www.ebay.co.uk/itm/153672756184
,0,op,1,6.5,,https://www.ebay.co.uk/itm/233791063172
,0,op,1,6.5,,https://www.ebay.co.uk/itm/274307487568
,0,op,2,13.12,,https://www.amazon.co.uk/dp/B07L7QZ4SY
